Publication Type,Authors_x,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI_x,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,id,Web of Science Record,doi,Name,Scholar Link,DOI_y,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors_y
J,"de la Vega, CL; Volij, O",,,,"Lasso de la Vega, Casilda; Volij, Oscar",,,THE MEASUREMENT OF INCOME SEGREGATION,INTERNATIONAL ECONOMIC REVIEW,,,English,Article,,,,,,,ECONOMIC SEGREGATION,"We examine the problem of measuring the extent to which students with different income levels attend separate schools. Unless rich and poor attend the same schools in the same proportions, some segregation will exist. Since income is a continuous cardinal variable, however, the rich-poor dichotomy is necessarily arbitrary and renders any application of a binary segregation measure artificial. This article provides an axiomatic characterization of a measure of income segregation that takes into account the cardinal nature of income. This measure satisfies an empirically useful decomposition by subdistricts.","Univ Basque Country, Leioa, Spain; Ben Gurion Univ Negev, Beer Sheva, Israel",University of Basque Country; Ben Gurion University,"Volij, O (corresponding author), Ben Gurion Univ Negev, Dept Econ, IL-84105 Beer Sheva, Israel.",ovolij@bgu.ac.il,"de la Vega, Casilda Maria Lasso/H-7175-2015; de la Vega, Casilda Maria Lasso/GQY-5927-2022; de la Vega, Casilda Lasso/AAA-1597-2019","de la Vega, Casilda Maria Lasso/0000-0002-4326-0457; de la Vega, Casilda Maria Lasso/0000-0002-4326-0457; de la Vega, Casilda Lasso/0000-0002-4326-0457",Spanish Ministerio de Economia y Competitividad [ECO2015-67519-P]; Gobierno Vasco [IT1367-19],Spanish Ministerio de Economia y Competitividad(Spanish Government); Gobierno Vasco(Basque Government),"We are indebted to David M. Frankel. This article benefited greatly from his generous collaboration. We also thank the editor in charge for his useful comments. Finally, we thank the Spanish Ministerio de Economia y Competitividad (project ECO2015-67519-P) and the Gobierno Vasco (project IT1367-19) for research support. This research has used as a source of information databases of the Education Quality Agency of Chile (Agencia de Calidad de la Educacion). The authors thank the Education Quality Agency for access to information. All the results of the study are the responsibility of the authors and do not compromise the institution. Please address correspondence to: Oscar Volij, Department of Economics, Ben-Gurion University, P.O.B 653, Beer-Sheva 84105 (Israel). E-mail: ovolij@bgu.ac.il.",,23,0,0,1,5,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0020-6598,1468-2354,,INT ECON REV,Int. Econ. Rev.,NOV,2020,61,4,,,,,1479,1500,,10.1111/iere.12466,http://dx.doi.org/10.1111/iere.12466,,Jun/20,22,Economics,Social Science Citation Index (SSCI),Business & Economics,OP8FX,,Green Submitted,,,28/01/2024,WOS:000541588500001,View Full Record in Web of Science,10.1111/iere.12466,THE MEASUREMENT OF INCOME SEGREGATION,,10.1111/iere.12466,TRUE,WOS:000541588500001.pdf,2020,,International Economic Review,TRUE,,"Lasso de la Vega, Casilda and Volij, Oscar"
J,"Reardon, SF; Bischoff, K",,,,"Reardon, Sean F.; Bischoff, Kendra",,,Income Inequality and Income Segregation,AMERICAN JOURNAL OF SOCIOLOGY,,,English,Article,,,,,,,US METROPOLITAN-AREAS; ECONOMIC SEGREGATION; RESIDENTIAL SEGREGATION; WAGE INEQUALITY; UNITED-STATES; HOUSING DISCRIMINATION; SPATIAL DYNAMICS; GEOGRAPHIC SCALE; TRENDS; POVERTY,"This article investigates how the growth in income inequality from 1970 to 2000 affected patterns of income segregation along three dimensions: the spatial segregation of poverty and affluence, race-specific patterns of income segregation, and the geographic scale of income segregation. The evidence reveals a robust relationship between income inequality and income segregation, an effect that is larger for black families than for white families. In addition, income inequality affects income segregation primarily through its effect on the large-scale spatial segregation of affluence rather than by affecting the spatial segregation of poverty or by altering small-scale patterns of income segregation.","[Reardon, Sean F.] Stanford Univ, Sch Educ, Stanford, CA 94305 USA",Stanford University,"Reardon, SF (corresponding author), Stanford Univ, Sch Educ, 520 Galvez Mall, Stanford, CA 94305 USA.",sean.reardon@stanford.edu,,"reardon, sean/0000-0002-0465-965X",,,,,97,565,765,3,277,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0002-9602,1537-5390,,AM J SOCIOL,Am. J. Sociol.,JAN,2011,116,4,,,,,1092,1153,,10.1086/657114,http://dx.doi.org/10.1086/657114,,,62,Sociology,Social Science Citation Index (SSCI),Sociology,756IV,21648248,,,,28/01/2024,WOS:000290005800002,View Full Record in Web of Science,10.1086/657114,Income Inequality and Income Segregation,,10.1086/657114,TRUE,WOS:000290005800002.pdf,2011,,American Journal of Sociology,TRUE,SciHub,"Reardon, Sean F. and Bischoff, Kendra"
J,"Bond, TN; Salisbury, L",,,,"Bond, Timothy N.; Salisbury, Laura",,,"Local Information, Income Segregation, and Geographic Mobility",B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,,,English,Article,,,,,,migration; asymmetric information; income segregation,ASYMMETRIC INFORMATION; INTERNATIONAL MIGRATION; BRAIN-DRAIN; COSTS,"We develop a model of migration in the face of geographic information asymmetries. Firms from a given city observe whether or not a local worker is a member of a disadvantaged local community, a negative indicator of productivity, but do not have this information for migrants to this city. With this knowledge, workers must decide whether to migrate and obscure information about their community of origin. Our model generates results consistent with recent trends in intergenerational mobility and internal migration as well as new predictions about the relationship between migrant outcomes and income segregation. We confirm these predictions using data from the U.S. census.","[Salisbury, Laura] York Univ, Dept Econ, Toronto, ON, Canada; [Bond, Timothy N.] Purdue Univ, Krannert Sch Management, Dept Econ, 403 W State St, Lafayette, IN 47907 USA",York University - Canada; Purdue University System; Purdue University,"Salisbury, L (corresponding author), York Univ, Dept Econ, Toronto, ON, Canada.",tnbond@purdue.edu; lsalisbu@yorku.ca,,,,,,,21,0,0,0,5,WALTER DE GRUYTER GMBH,BERLIN,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",1935-1682,,,BE J ECON ANAL POLI,B E J. Econ. Anal. Policy,JUL,2018,18,3,,,,,,,20170314,10.1515/bejeap-2017-0314,http://dx.doi.org/10.1515/bejeap-2017-0314,,,17,Economics,Social Science Citation Index (SSCI),Business & Economics,GO9RB,,,,,28/01/2024,WOS:000440443600007,View Full Record in Web of Science,10.1515/bejeap-2017-0314,"Local Information, Income Segregation, and Geographic Mobility",,10.1515/bejeap-2017-0314,TRUE,WOS:000440443600007.pdf,2018,,The B.E. Journal of Economic Analysis &amp; Policy,TRUE,SciHub,"Bond, Timothy N. and Salisbury, Laura"
J,"Dawkins, CJ",,,,"Dawkins, Casey J.",,,Space and the measurement of income segregation,JOURNAL OF REGIONAL SCIENCE,,,English,Article,,,,,,,GINI INDEX; INEQUALITY; DISTANCE,"This paper proposes a new spatial ordering index that that can be used to quantify the dependence of a given pattern of income segregation on the spatial arrangement of neighborhoods. Unlike other spatial measures of income segregation proposed in the literature, the spatial ordering index is less sensitive to the presence of outliers, satisfies the principle of transfers, and is flexible enough to quantify a variety of spatial patterns of segregation. The index can be interpreted in terms of the ratio of two covariances. Properties of the proposed measure are demonstrated using an example from the city of Baltimore, Maryland.","Virginia Polytech Inst & State Univ, Sch Publ & Int Affairs, Blacksburg, VA 24061 USA",Virginia Polytechnic Institute & State University,"Dawkins, CJ (corresponding author), Virginia Polytech Inst & State Univ, Sch Publ & Int Affairs, 301 Architecture Annex, Blacksburg, VA 24061 USA.",dawkins@vt.edu,,,,,,,38,19,26,0,9,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-4146,1467-9787,,J REGIONAL SCI,J. Reg. Sci.,MAY,2007,47,2,,,,,255,272,,10.1111/j.1467-9787.2007.00508.x,http://dx.doi.org/10.1111/j.1467-9787.2007.00508.x,,,18,Economics; Environmental Studies; Regional & Urban Planning,Social Science Citation Index (SSCI),Business & Economics; Environmental Sciences & Ecology; Public Administration,158SB,,,,,28/01/2024,WOS:000245813700004,View Full Record in Web of Science,10.1111/j.1467-9787.2007.00508.x,SPACE AND THE MEASUREMENT OF INCOME SEGREGATION,,10.1111/j.1467-9787.2007.00508.x,TRUE,WOS:000245813700004.pdf,2007,,Journal of Regional Science,TRUE,SciHub,"Dawkins, Casey J."
J,"Owens, A",,,,"Owens, Ann",,,Building Inequality: Housing Segregation and Income Segregation,SOCIOLOGICAL SCIENCE,,,English,Article,,,,,,income segregation; residential segregation; housing; housing segregation,RESIDENTIAL SEGREGATION; METROPOLITAN-AREAS; MOBILITY; POVERTY; SCHOOLS; CITIES,"This article foregrounds housing in the study of residential segregation. The spatial configuration of housing determines the housing opportunities in each neighborhood, the backdrop against which households' resources, preferences, and constraints play out. I use census and American Community Survey data to provide the first evidence of the extent of housing segregation by type and by cost at multiple geographic scales in large metropolitan areas in the United States from 1990 to 2014. Segregation between single- and multifamily homes and renter- and owner-occupied homes increased in most metropolitan areas, whereas segregation by cost declined. Housing segregation varies among metropolitan areas, across geographic scales, and over time, with consequences for income segregation. Income segregation is markedly higher when and where housing segregation is greater. As long as housing opportunities remain segregated, residential segregation will change little, with urgent implications for urban and housing policy makers.","[Owens, Ann] Univ Southern Calif, Los Angeles, CA 90089 USA",University of Southern California,"Owens, A (corresponding author), Univ Southern Calif, Los Angeles, CA 90089 USA.",annowens@usc.edu,,,USC Lusk Center for Real Estate faculty research grant,USC Lusk Center for Real Estate faculty research grant,This research was supported by a USC Lusk Center for Real Estate faculty research grant. Comments and suggestions from the 2019 Population Association of America Annual Meeting and from reviewers improved this article. All conclusions and errors are attributable to the author.,,65,22,32,13,59,SOC SOCIOLOGICAL SCIENCE,STANFORD,"940 COTTRELL WAY, STANFORD, CA 94305 USA",,2330-6696,,SOCIOL SCI,Sociol. Sci.,Aug/07,2019,6,,,,,,497,525,,10.15195/v6.a19,http://dx.doi.org/10.15195/v6.a19,,,29,Sociology,Social Science Citation Index (SSCI),Sociology,IS5ZR,,"gold, Green Submitted",,,28/01/2024,WOS:000482232300001,View Full Record in Web of Science,10.15195/v6.a19,Building Inequality: Housing Segregation and Income Segregation,,10.15195/v6.a19,TRUE,WOS:000482232300001.pdf,2019,,Sociological Science,TRUE,,"Owens, Ann"
J,"Eitle, D; D'Alessio, SJ; Stolzenberg, L",,,,"Eitle, David; D'Alessio, Stewart J.; Stolzenberg, Lisa",,,"Economic segregation, race, and homicide",SOCIAL SCIENCE QUARTERLY,,,English,Article,,,,,,,RESIDENTIAL SEGREGATION; POVERTY; RATES; BLACK; DISADVANTAGE; INEQUALITY; CRIME,"Objective. Prior research assessing the association between structured inequality and homicides has produced inconsistent findings, particularly in regard to establishing an association between economic disadvantage and black homicide rates. In this study, we employ a measure of the spatial distribution of income, Jargowksy's (1996) economic segregation measure, to assess overall and race-specific homicide rates. Methods. Using cross-sectional Census data and Supplemental Homicide Report data across 166 Metropolitan Statistical Areas, the present analysis uses negative binomial regression models to examine the association between economic segregation and homicide rates. Results. We find that both economic segregation and absolute deprivation (i.e., the overall extent of economic disadvantage) are robust predictors of black, white, and overall homicide rates. However, an alternative measure of economic segregation, a measure capturing poverty concentration, was not found to be a significant predictor of black homicide rates. Conclusion. We suggest that further studies should consider the extent of isolation across the income continuum, instead of focusing solely on poverty concentration.","Montana State Univ, Dept Sociol & Anthropol, Bozeman, MT 59717 USA; Florida Int Univ, Miami, FL 33199 USA",Montana State University System; Montana State University Bozeman; State University System of Florida; Florida International University,"Eitle, D (corresponding author), Montana State Univ, Dept Sociol & Anthropol, Wilson 2-128, Bozeman, MT 59717 USA.",deitle@montana.edu,,"Stolzenberg, Lisa/0000-0002-1655-5348; D'Alessio, Stewart/0000-0002-1426-4133",,,,,38,18,30,0,2,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0038-4941,1540-6237,,SOC SCI QUART,Soc. Sci. Q.,SEP,2006,87,3,,,,,638,657,,10.1111/j.1540-6237.2006.00401.x,http://dx.doi.org/10.1111/j.1540-6237.2006.00401.x,,,20,Political Science; Sociology,Social Science Citation Index (SSCI),Government & Law; Sociology,077IF,,,,,28/01/2024,WOS:000240021800011,View Full Record in Web of Science,10.1111/j.1540-6237.2006.00401.x,"Economic Segregation, Race, and Homicide<sup>*</sup>",,10.1111/j.1540-6237.2006.00401.x,TRUE,WOS:000240021800011.pdf,2006,,Social Science Quarterly,TRUE,SciHub,"Eitle, David and D’Alessio, Stewart J. and Stolzenberg, Lisa"
J,"Rey, SJ; Folch, DC",,,,"Rey, Sergio J.; Folch, David C.",,,Impact of spatial effects on income segregation indices,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,,,English,Article,,,,,,Segregation; Spatial effects,RESIDENTIAL SEGREGATION; METHODOLOGICAL ANALYSIS; AMERICAN-CITIES; SCALE; DIMENSIONS,"Residential segregation is an inherently spatial phenomenon as it measures the separation of different types of people within a region. Whether measured with an explicitly spatial index, or a classic aspatial index, a region's underlying spatial properties could manifest themselves in the magnitude of measured segregation. In this paper we implement a Monte Carlo simulation approach to investigate the properties of four segregation indices in regions built with specific spatial properties. This approach allows us to control the experiment in ways that empirical data do not. In general we confirm the expected results for the indices under various spatial properties, but some unexpected results emerge. Both the Dissimilarity Index and Neighborhood Sorting Index are sensitive to region size, but their spatial counterparts, the Adjusted Dissimilarity Index and Generalized Neighborhood Sorting Index, are generally immune to this problem. The paper also lends weight to concerns about the downward pressure on measured segregation when multiple neighborhoods are grouped into a single census tract. Finally, we discuss concerns about the way space is incorporated into segregation indices since the expected value of the spatial indices tested is lower than their aspatial counterparts. (C) 2011 Elsevier Ltd. All rights reserved.","[Rey, Sergio J.; Folch, David C.] Arizona State Univ, Sch Geog Sci & Urban Planning, GeoDa Ctr Geospatial Anal & Computat, Tempe, AZ 85287 USA",Arizona State University; Arizona State University-Tempe,"Rey, SJ (corresponding author), Arizona State Univ, Sch Geog Sci & Urban Planning, GeoDa Ctr Geospatial Anal & Computat, Tempe, AZ 85287 USA.",Sergio.Rey@asu.edu,"Folch, David/AAU-4770-2021","Folch, David/0000-0002-8167-1118; Rey, Sergio/0000-0001-5857-9762",,,,,42,11,17,3,27,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0198-9715,1873-7587,,COMPUT ENVIRON URBAN,Comput. Environ. Urban Syst.,NOV,2011,35,6,,,,,431,441,,10.1016/j.compenvurbsys.2011.07.008,http://dx.doi.org/10.1016/j.compenvurbsys.2011.07.008,,,11,"Computer Science, Interdisciplinary Applications; Engineering, Environmental; Environmental Studies; Geography; Operations Research & Management Science; Regional & Urban Planning",Social Science Citation Index (SSCI),Computer Science; Engineering; Environmental Sciences & Ecology; Geography; Operations Research & Management Science; Public Administration,838OC,,,,,28/01/2024,WOS:000296301100001,View Full Record in Web of Science,10.1016/j.compenvurbsys.2011.07.008,Impact of spatial effects on income segregation indices,,10.1016/j.compenvurbsys.2011.07.008,TRUE,WOS:000296301100001.pdf,2011,,"Computers, Environment and Urban Systems",TRUE,SciHub,"Rey, Sergio J. and Folch, David C."
J,"Horstmann, IJ; Scharf, K; Slivinski, A",,,,"Horstmann, Ignatius J.; Scharf, Kimberley; Slivinski, Al",,,Can private giving promote economic segregation?,JOURNAL OF PUBLIC ECONOMICS,,,English,Article,,,,,,private provision of public goods; jurisdiction formation,PUBLIC-GOODS; PROVISION; ALTRUISM,"This paper explores the theoretical relationship between tax relief for private giving and individual location choice. Tax relief for giving may receive political support at the local level because of its distributional effects; however, through its effects on public provision choices, such relief may affect individual location decisions and, in so doing, has an impact on the jurisdictional configurations that can arise in equilibrium. For some demographic parameters it will promote economic segregation rather than integration, while for others, the opposite is true. In the former scenario, a ban on local tax incentives for giving would be Pareto improving and would thus be sanctioned by a majority-supported federal tax constitution. (c) 2006 Elsevier B.V. All rights reserved.","Univ Western Ontario, Dept Econ, Social Sci Ctr, London, ON N6A 5C2, Canada; Univ Warwick, IFS, Coventry CV4 7AL, W Midlands, England; Univ Toronto, Rotman Sch Management, Toronto, ON, Canada; Univ Toronto, Inst Policy Anal, Toronto, ON, Canada",Western University (University of Western Ontario); University of Warwick; University of Toronto; University of Toronto,"Slivinski, A (corresponding author), Univ Western Ontario, Dept Econ, Social Sci Ctr, London, ON N6A 5C2, Canada.",aslivins@uwo.ca,,"Scharf, Kimberley/0000-0002-3963-0777",,,,,11,2,2,0,6,ELSEVIER SCIENCE SA,LAUSANNE,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",0047-2727,,,J PUBLIC ECON,J. Public Econ.,JUN,2007,91,05/Jun,,,,,1095,1118,,10.1016/j.jpubeco.2006.10.006,http://dx.doi.org/10.1016/j.jpubeco.2006.10.006,,,24,Economics,Social Science Citation Index (SSCI),Business & Economics,162LT,,,,,28/01/2024,WOS:000246089600012,View Full Record in Web of Science,10.1016/j.jpubeco.2006.10.006,Can private giving promote economic segregation?,,10.1016/j.jpubeco.2006.10.006,TRUE,WOS:000246089600012.pdf,2007,,Journal of Public Economics,TRUE,SciHub,"Horstmann, Ignatius J. and Scharf, Kimberley and Slivinski, Al"
J,"Berkes, E; Gaetani, R",,,,"Berkes, Enrico; Gaetani, Ruben",,,Income Segregation and the Rise of the Knowledge Economy,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,,,English,Article,,,,,,,RESIDENTIAL SEGREGATION; OPPORTUNITY; GROWTH; HEALTH,"We analyze the effect of an increase in knowledge-intensive activi-ties on spatial inequality in US cities. We leverage a predetermined network of patent citations to instrument for local innovation trends. Between 1990 and 2010, a one-standard-deviation increase in pat-ent growth increases income segregation by 0.65 Gini points, cor-responding to 0.31 standard deviations of the over-time change in income segregation. This effect mainly arises from the sorting of res-idents by income, occupation, and education. Local shocks to inno-vation induce a clustering of knowledge-intensive jobs and residents, amplified by the response of rents and amenities. (JEL D31, O31, O33, O34, R23, R32)","[Berkes, Enrico] Ohio State Univ, Columbus, OH 43210 USA; [Gaetani, Ruben] Univ Toronto, Toronto, ON, Canada",University System of Ohio; Ohio State University; University of Toronto,"Berkes, E (corresponding author), Ohio State Univ, Columbus, OH 43210 USA.",berkes.8@osu.edu; ruben.gaetani@utoronto.ca,,"Berkes, Enrico/0000-0001-5117-9918",Ewing Marion Kauffman Foundation,Ewing Marion Kauffman Foundation,This research was funded in part by the Ewing Marion Kauffman Foundation. The contents of this paper are solely our responsibility.,,59,0,0,9,11,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",1945-7782,1945-7790,,AM ECON J-APPL ECON,Am. Econ. J.-Appl. Econ.,APR,2023,15,2,,,,,69,102,,10.1257/app.20210074,http://dx.doi.org/10.1257/app.20210074,,,34,Economics,Social Science Citation Index (SSCI),Business & Economics,D9OM5,,,,,28/01/2024,WOS:000971949200003,View Full Record in Web of Science,10.1257/app.20210074,Income Segregation and the Rise of the Knowledge Economy,,10.1257/app.20210074,TRUE,WOS:000971949200003.pdf,2023,,American Economic Journal: Applied Economics,TRUE,,"Berkes, Enrico and Gaetani, Ruben"
J,"Franko, WW; Livingston, AC",,,,"Franko, William W.; Livingston, Avery C.",,,Economic segregation and public support for redistribution,SOCIAL SCIENCE JOURNAL,,,English,Article,,,,,,Economic segregation; Inequality; Class; Public policy,SOCIAL-POLICY PREFERENCES; RESIDENTIAL SEGREGATION; INEQUALITY; INCOME; CONTEXT,"This study assesses whether local economic segregation, or the degree to which people live among others of similar economic status, influences the American public's preferences for government redistribution. To test this proposition, we combine unique measures of economic segregation at the local level (using zip codes), covering nearly the entire U.S. population, with individual-level opinions on government spending and taxation. Multilevel regression analysis with random intercepts is used to assess whether the public's preferences for redistribution are shaped by local economic segregation. Our findings suggest that residents living in highly segregated areas are less likely to favor redistributive government policy. Additionally, the results show that the influence of economic segregation on public support for redistribution is particularly strong among the affluent. This research not only contributes to our understanding of the consequences of economic change, but it also demonstrates the importance of considering local context when studying the attitudes of the American public. While the expansion of income inequality is certainly a global phenomenon, the political, economic, and social environments that make up the communities where people live are bound to have an influence on public opinion.","[Franko, William W.] West Virginia Univ, Dept Polit Sci, 316 Woodburn Hall,POB 6317, Morgantown, WV 26506 USA; [Livingston, Avery C.] Legal Serv Alabama, Consumer Rights & Housing, Montgomery, AL USA",West Virginia University,"Franko, WW (corresponding author), West Virginia Univ, Dept Polit Sci, 316 Woodburn Hall,POB 6317, Morgantown, WV 26506 USA.",william.franko@mail.wvu.edu,,,,,,,61,1,1,1,1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0362-3319,1873-5355,,SOC SCI J,Soc. Sci. J.,Jul/03,2022,59,3,,,,,375,393,,10.1080/03623319.2020.1727223,http://dx.doi.org/10.1080/03623319.2020.1727223,,,19,"Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Social Sciences - Other Topics,8T1BP,,,,,28/01/2024,WOS:000929004400003,View Full Record in Web of Science,10.1080/03623319.2020.1727223,Economic segregation and public support for redistribution,,10.1080/03623319.2020.1727223,TRUE,WOS:000929004400003.pdf,2020,,The Social Science Journal,FALSE,,"Franko, William W. and Livingston, Avery C."
