"@_fa","prism:url","dc:identifier","eid","dc:title","dc:creator","prism:publicationName","prism:eIssn","prism:volume","prism:issueIdentifier","prism:coverDate","prism:coverDisplayDate","prism:doi","dc:description","citedby-count","pubmed-id","prism:aggregationType","subtype","subtypeDescription","author-count.@limit","author-count.@total","author-count.$","article-number","source-id","fund-acr","fund-no","fund-sponsor","openaccess","openaccessFlag","freetoread.value.$","freetoreadLabel.value.$","entry_number","authkeywords","prism:issn","pii","prism:pageRange"
"true","https://api.elsevier.com/content/abstract/scopus_id/85187130405","SCOPUS_ID:85187130405","2-s2.0-85187130405","An Integrated Multi-Source Dataset for Measuring Settlement Evolution in the United States from 1810 to 2020","Ahn Y.","Scientific Data","20524463","11","1","2024-12-01","December 2024","10.1038/s41597-024-03081-x","Understanding changes in the built environment is vital for sustainable urban development and disaster preparedness. Recent years have seen the emergence of a variety of global, continent-level, and nation-wide datasets related to the current state and the evolution of the built environment, human settlements or building stocks. However, such datasets may face limitations like incomplete coverage, sparse building information, coarse resolution, and limited timeframes. This study addresses these challenges by integrating three spatial datasets to create an extensive, attribute-rich sequence of settlement layers spanning 200 years for the contiguous U.S. This integration process involves complex data processing, merging property-level real estate, parcel, and remote sensing-based building footprint data, and creating gridded multi-temporal settlement layers. This effort unveils the latest edition (Version 2) of the Historical Settlement Data Compilation for the U.S. (HISDAC-US), which includes the latest land use and structural information as of the year 2021. It enables detailed research on urban form and structure, helps assess and map the built environment’s risk to natural hazards, assists in population modeling, supports land use analysis, and aids health studies.","0","38453937","Journal","dp","Data Paper","100","4","4","275","21100451321","NSF","1924670","National Science Foundation","1","TRUE","all","All Open Access","1",NA,NA,NA,NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85181753540","SCOPUS_ID:85181753540","2-s2.0-85181753540","De-bordering policies at the city scale: strategies for building resilience in Barcelona's migration governance","Zapata-Barrero R.","Comparative Migration Studies","2214594X","12","1","2024-12-01","December 2024","10.1186/s40878-023-00361-0","This article bridges the fields of urban politics, migration governance and border studies by exploring Barcelona as a case study. It raises a first critical question about what happens to so-called borderlands when ""borders"" move to other scales, such as cities that are not usually categorized as ""border cities"". Within this framing debate, this study explores two fundamental questions: (1) how border practices at the state level shape constrained relations between cities and migrants, and (2) how cities map de-bordering policies to resolve such constraints, which we conceptualise as an example of 'urban resilience'. The aim is to provide a focus that brings the analytical category of ""urban resilience"", recently proposed within the emerging debate on the ""local turn"" in migration studies, to bear on issues directly related to the social impacts of state bordering processes on urban systems. The article then argues that urban justice principles drive most cities to initiate resilient de-bordering policies, and can be seen as a distinctive normative factor underpinning urban resilience when applied to migration governance. After laying the groundwork for this theoretical framework and its application to the city of Barcelona, the final section briefly outlines the potential of this new and crucial critical area of migration research. This will provide yet another opportunity to highlight that we are likely to enter an era in which cities will increasingly become sovereign geopolitical entities within and beyond the traditional hierarchical reach of their own states.","0",NA,"Journal","ar","Article","100","1","1","2","21100899442",NA,"101079254",NA,"1","TRUE","all","All Open Access","2","Barcelona | Bordering politics | De-bordering policies | Migration | Urban governance urban resilience | Urban justice",NA,NA,NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188917408","SCOPUS_ID:85188917408","2-s2.0-85188917408","Beyond funding: The moderating role of firms' R&amp;D human capital on government support and venture capital for regional innovation in China","Edeh J.","Technological Forecasting and Social Change",NA,"203",NA,"2024-06-01","June 2024","10.1016/j.techfore.2024.123351","Technological innovation is a cornerstone of economic growth. It is a crucial determinant of regions' competitiveness, especially for rapidly developing emerging economies. Past research remained inconclusive on whether venture capital and government subsidies to firms have a significant effect on innovation performance at the regional level. In this article, we show the determining role of investment by firms in R&D human capital. We use panel data from 31 provinces in China, covering the period 1999–2015. The results reveal that government support for firms and venture capital do not have a significant direct impact on regional innovation performance. This effect is strongly moderated by R&D human capital. The findings of this study offer practical implications for policymakers and private investors, guiding them on how to maximize the efficiency of their R&D investments for regional economic growth. They also show the importance of investment in R&D human capital for the management of technology and innovation at the firm level.","0",NA,"Journal","ar","Article","100","2","2","123351","14704",NA,"undefined",NA,"0","FALSE",NA,NA,"3","China | Emerging markets | Government support | R&amp;D | R&amp;D human capital | Regional innovation | Venture capital","00401625","S0040162524001471",NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188908150","SCOPUS_ID:85188908150","2-s2.0-85188908150","Exploring a Conceptual Framework of Spatial Governance for a Public-Private Partnership Response to Regional Uneven Development","Cheng Z.","Journal of Urban Planning and Development","19435444","150","2","2024-06-01","1 June 2024","10.1061/JUPDDM.UPENG-4738","The geographies of public-private partnership (PPP) are an important but neglected topic in urban development and planning. Few existing studies have explored the spatial heterogeneity of PPP development in different regions within a country. This article aims to explore the impact of uneven regional development on PPP development and spatial governance for PPPs as a response. First, the concept of variegated PPPs is proposed to portray and analyze the impact of uneven regional development on PPPs from the dimensions of complexity, regional differences, and the spatialization of policy based on China. Second, a conceptual framework is constructed for PPP spatial governance as a response that includes the actors, driving forces, processes, patterns, and regulations. Finally, the underlying mechanism and implications of PPP spatial governance are discussed. This article concludes that spatial governance is conducive to the development of PPPs in developing countries and promotes the performance of PPPs and policymaking. When formulating and adjusting PPP-related policies, governments from developing countries should tailor the policies to their national conditions and consider regional differences inside a country. Therefore, this article might have reference value for other countries, especially developing countries with rapid urbanization.","0",NA,"Journal","ar","Article","100","4","4","05024007","13954",NA,"undefined",NA,"0","FALSE",NA,NA,"4","China | China | Public-private partnership | Regional uneven development | Spatial governance","07339488",NA,NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188891381","SCOPUS_ID:85188891381","2-s2.0-85188891381","Commercial gentrification revisited: Social capital and community governance in regenerated neighborhoods of South Korea","Seomun G.","Cities",NA,"149",NA,"2024-06-01","June 2024","10.1016/j.cities.2024.104970","In this study, we examine the potential roles of social capital and community governance in commercial gentrification and protection against commercial gentrification, and how rising rent costs as an outcome of commercial gentrification, can be moderated through a win-win agreement within a South Korean metropolitan city. Utilizing an in-depth case study approach with surveys, interviews, and document-based analysis, we examine the perceptions of shop workers on commercial gentrification outcomes and community policy process of a win-win agreement. Our results highlight the positive role of social capital and community governance in mitigating the negative outcomes of commercial gentrification and enhancing the protection against commercial gentrification and satisfaction of urban regeneration policies. The win-win agreement, particularly concerning rising rent fees between tenants and owners within the commercial area revealed the positive potential role in softening gentrification effects.","0",NA,"Journal","ar","Article","100","4","4","104970","16956","CNU","2021-0836-01","Chungnam National University","0","FALSE",NA,NA,"5","Commercial gentrification | Governance | Rent gap | Social capital | Win-win agreement","02642751","S0264275124001847",NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188878428","SCOPUS_ID:85188878428","2-s2.0-85188878428","Open strategizing for developing smart city food system: Stakeholder inclusion in practice","Mahdad M.","Technology in Society",NA,"77",NA,"2024-06-01","June 2024","10.1016/j.techsoc.2024.102516","The positive impact of stakeholder engagement (SE) in smart city development initiatives has received notable scholarly attention over the past decade. Researchers of stakeholder engagement have investigated various aspects of the engagement process from different theoretical perspectives, yet the complexity and dynamism of inclusion, especially at the societal level and in the context of smart city development, continue to inspire more research. Drawing from the intersection of open strategy (OS) and SE, we seek to enhance understanding of the open strategizing process by elucidating stakeholder inclusion practices in a smart city initiative, focusing on food systems in Da Nang, Vietnam. Our participatory action research draws on 114 semi-structured interviews and four stakeholder workshops to analyze the way stakeholder inclusion practices unfold in the strategic decision-making process of a smart city initiative. Our analysis reveals that stakeholder inclusion is complex and involves four interdependent practices at different stages of the strategizing process. These practices are trust formation, common language creation, role transformation, and expectation alignment. Together, they culminate in the creation of an interactive social space for the strategy-making process. The proposed analytical framework highlights the interdependencies among practices and their outcomes at different stages of the open strategizing process and could serve as a guideline in a context in which stakeholder inclusion at the planning phase is necessary to achieve systemic change.","0",NA,"Journal","ar","Article","100","4","4","102516","18676","BTC","undefined","Belgisch Ontwikkelingsagentschap","1","TRUE",NA,NA,"6","Action Research | Food system | Inclusion | Open Strategy | Smart City | Stakeholder Engagement","0160791X","S0160791X24000642",NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188676735","SCOPUS_ID:85188676735","2-s2.0-85188676735","On a critical walk: The politicisation of pedestrian planning as a tension in participatory planning","Niitamo A.","Cities",NA,"149",NA,"2024-06-01","June 2024","10.1016/j.cities.2024.104968","This paper analyses urban walking during the early months of the Covid-19 pandemic in 2020 as an object of urban planning in Helsinki. The paper investigates planners' experiences of planning for temporary spatial solutions during a time of exceptionality in urban life. The paper is motivated by the wish to determine the influence of residents' environmental critique on official urban planning processes. Analysis is primarily based on walk-along interviews with urban planners and residents in the densest eastern downtown neighbourhoods of Helsinki. Supplemental data, including a survey, chat group discussions and planning documents, are used to deepen analysis. Results discuss the politicisation of planning and the delicate relationship between public planners and the political steering of planning in a Nordic welfare planning system. The paper discusses how the politicisation of planning imposes barriers to participatory planning by tying planners' time and attention to organisational tensions, but also by not being able to direct public attention to contentious planning topics. To analyse the role of planners in advocating for pedestrian planning and citizen participation, the study incorporates concepts from organisational communication and urban governance: tensions, rational ignorance and guerrilla governance.","0",NA,"Journal","ar","Article","100","1","1","104968","16956",NA,"undefined","Ella ja Georg Ehrnroothin Säätiö","1","TRUE",NA,NA,"7","Citizen participation | Environmental critique | Planning tensions | Politicisation of planning | Urban walking","02642751","S0264275124001823",NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188527108","SCOPUS_ID:85188527108","2-s2.0-85188527108","Ally, deterrence, or leverage in the tripartite game? The effects of indirect stakeholders in historic urban regeneration","Zhong J.","Cities",NA,"149",NA,"2024-06-01","June 2024","10.1016/j.cities.2024.104931","The conflict between public and private interests has become a focal point of contention among various parties in the process of expropriation and relocation for historic urban regeneration. Failures to properly resolve such conflict often lead to impeded urban regeneration and/or loss of cultural values. Although previous studies have analyzed the mediating role of various types of indirect stakeholders in historic urban regeneration, they have not further examined various effects of indirect stakeholders. Inspired by the theories of dependence, deterrence, and agency among stakeholders, this study explains the different effects of indirect stakeholders on the three parties (government, developers, and residents) following the evolutionary game theory. Specifically, replicator dynamics equations are established to simulate the evolution paths of the government, developers, and residents in the tripartite game involving indirect stakeholders through a case study for the historic regeneration of Zhongshan Road in Nanning, China. Modeling parameters are obtained through semi-structured interviews and quantified analyses of policy documents. The results reveal that indirect stakeholders (1) show a positive ally effect benefiting the stability of government strategies, (2) have a negative deterrent effect conducive to the stable evolution of developers, and (3) have an indirect leverage effect on the evolution of residents. Our study makes contributions by (1) designing a new indirect stakeholder mechanism to urban regeneration, and (2) establishing a new analysis framework for the tripartite game in urban regeneration. Although the case study is conducted in the context of China, the analytical framework is applicable to other countries.","0",NA,"Journal","ar","Article","100","4","4","104931","16956",NA,"undefined",NA,"0","FALSE",NA,NA,"8","Ally, deterrence, or leverage effects | Evolutionary game theory | Historic urban regeneration | Indirect stakeholder | Replicator dynamic system","02642751","S0264275124001458",NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85188251550","SCOPUS_ID:85188251550","2-s2.0-85188251550","Current research and opinion on land governance for societal development in and on the global south","Chigbu U.E.","Land Use Policy",NA,"141",NA,"2024-06-01","June 2024","10.1016/j.landusepol.2024.107112","The articles analysed and presented in this editorial are from the Special Issue (SI) entitled, Current Research and Opinion on Land Governance for Societal Development in and on the Global South, curated from an e-conference that brought together many diverse scholars and practitioners from across the global land community. These articles can become multi- inter- and cross-disciplinary reference material for in-class and on-field education and learning in land studies. Their knowledge base covers specific subjects on land use planning, urban development, land administration, land governance, land policy, rural development, land management, real estate, land tenure, property rights and gender and women concerns (to mention a few). All scholars within the land profession—whether in the business, geography, sociology, area studies, anthropology, planning, engineering and the built environment disciplines—are encouraged to read, use and apply this knowledge base in their distinct roles in the land sector or land-related activities.","0",NA,"Journal","ar","Article","100","4","4","107112","14500",NA,"undefined",NA,"0","FALSE",NA,NA,"9","China | Governance | Land | Land administration | Land governance | Land management | Land policy | Land tenure | Rural | Societal development | Urban | Urban-rural","02648377","S0264837724000644",NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85187974924","SCOPUS_ID:85187974924","2-s2.0-85187974924","Pedestrian-oriented development in Beirut: A framework for estimating urban design impacts on pedestrian flows through modeling, participatory design, and scenario analysis","Sevtsuk A.","Cities",NA,"149",NA,"2024-06-01","June 2024","10.1016/j.cities.2024.104927","As municipalities are setting ambitious targets to increase non-motorized transportation mode shares, analytic frameworks for examining how such targets will be met become increasingly important. In this article, we update the Urban Network Analysis pedestrian modeling framework designed to link land use and urban development changes with pedestrian mobility outcomes by introducing new methods for capturing the effects of street properties on pedestrian travel demand and adjusting pedestrian trip generation rates with k-nearest accessibility scores based on destination availability in each context. This framework was used in conjunction with a participatory design process in Beirut, Lebanon to estimate pedestrian mobility impacts of three urban design scenarios. We illustrate how each scenario affects pedestrian trip generation across various trip types and trip distribution on individual street segments. Our approach demonstrates how urban design interventions–both land use changes and street quality improvements–can influence pedestrian travel demand. Estimates of these changes can provide planners and policymakers with valuable benefit-cost analyses of public space improvements, and a framework for understanding how site-specific planning and development decisions can impact progress towards (or away from) non-motorized mobility goals.","0",NA,"Journal","ar","Article","100","10","10","104927","16956","MIT","undefined","Massachusetts Institute of Technology","1","TRUE","all","All Open Access","10","Beirut | Pedestrian impact analysis | Pedestrian modeling | Street attributes | Urban design","02642751","S0264275124001410",NA
