"@_fa","prism:url","dc:identifier","eid","dc:title","dc:creator","prism:publicationName","prism:eIssn","prism:volume","prism:issueIdentifier","prism:coverDate","prism:coverDisplayDate","prism:doi","dc:description","citedby-count","prism:aggregationType","subtype","subtypeDescription","author-count.@limit","author-count.@total","author-count.$","article-number","source-id","fund-no","openaccess","openaccessFlag","freetoread.value.$","freetoreadLabel.value.$","entry_number","prism:pageRange","authkeywords","fund-sponsor","pubmed-id","fund-acr","prism:issn","pii"
"true","https://api.elsevier.com/content/abstract/scopus_id/85191073056","SCOPUS_ID:85191073056","2-s2.0-85191073056","Decomposing the comprehensive efficiency of major cities into divisions on governance, ICT and sustainability: network slack-based measure model","Wu Y.","Humanities and Social Sciences Communications","26629992","11","1","2024-12-01","December 2024","10.1057/s41599-024-03016-2","The rapid urbanization and population growth in major cities have given rise to enduring urban challenges, prompting local governments to assess urban development performance and customize urban planning strategies to meet these challenges. This study aims to formulate an evaluation framework for the comprehensive efficiency of major cities, centering on governance, Information and Communication Technology (ICT), and sustainability as fundamental aspects. Distinct from prior research, the framework employs the network slack-based measure (SBM) to unravel efficiency, concurrently scrutinizing input/output slack and link efficiency. Utilizing the network SBM model, the study assesses the comprehensive operational efficiencies of 38 major Chinese cities spanning from 2015 to 2019. The application of the Kruskal–Wallis test discerns differences in comprehensive efficiency between coastal and inland areas. The results indicate that governance, ICT, and sustainability significantly influence the comprehensive operations of cities. In addition to general and short-term policies, the implementation of the National New-Type Urbanization Plan by the Chinese central government has led to an increase in the number of cities demonstrating sustainable efficiency. Despite fluctuations in the efficiency gap during the study period, coastal cities consistently outperform their inland counterparts in terms of efficiency. Persistent geographical disparities underscore the imperative for balanced development. While acknowledging positive strides in sustainable urbanization, the study emphasizes the ongoing necessity to address the adverse impacts of urban development, positioning governance, ICT, and sustainability as indispensable elements in confronting the multifaceted challenges inherent in urban development. The research findings contribute significantly to the field of urban efficiency evaluation, accentuating the collaborative impact of governance, ICT, and sustainability.","0","Journal","ar","Article","100","2","2","527","21101018925","undefined","1","TRUE","all","All Open Access","1",NA,NA,NA,NA,NA,NA,NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85189521736","SCOPUS_ID:85189521736","2-s2.0-85189521736","Explaining Factors Affecting Flood Evacuation From the Point of View of Stakeholders: AContent Analysis Study","Karampourian A.","Health in Emergencies and Disasters Quarterly","23454210","9","2","2024-12-01","Winter 2024","10.32598/hdq.9.2.494.4","Background: Floods are a natural hydrological hazard that causes human and environmental damage. In the response phase, evacuation is necessary to reduce deterioration. This study explains the influential factors on flood evacuation based on the opinion of the stakeholders. Materials and Methods: This is a conventional content analysis study conducted in 2021. A total of 27 participants were selected using the purposive sampling method. Data collection was performed using semi-structured interviews. Interviews continued until information saturation was reached. The recorded interviews were handwritten word by word and then analyzed. The criteria for entering the study included flood experience, the ability to communicate, and willingness to participate. The period of the interview was 40 to 70 min. Written consent was obtained from the interviewees for audio recording. The Granheim and Lundman method was used for data analysis. This study’s reliability was based on the Goba and Lincoln method. Results: Data analysis extracted four main categories with ten sub-categories, including human factors (a subcategory of individual characteristics and risk perception), social factors (a subcategory of cultural conditions and financial status), geographical factors (a sub-category of urban location and climate conditions), and infrastructure factors (a sub-category of facilities related to transportation tools and routes, urban constructions, communication infrastructure, and meteorological facilities). Conclusion: Reaching a successful evacuation requires determining the relevant factors. These factors include human, social, geographic, and infrastructure factors. The findings of this study can help managers in flood management.","0","Journal","ar","Article","100","3","3",NA,"21101146384","undefined","0","FALSE",NA,NA,"2","115-124","Disaster planning | Disasters | Emergency shelter | Floods","Hamadan University of Medical Sciences",NA,NA,NA,NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85181753540","SCOPUS_ID:85181753540","2-s2.0-85181753540","De-bordering policies at the city scale: strategies for building resilience in Barcelona's migration governance","Zapata-Barrero R.","Comparative Migration Studies","2214594X","12","1","2024-12-01","December 2024","10.1186/s40878-023-00361-0","This article bridges the fields of urban politics, migration governance and border studies by exploring Barcelona as a case study. It raises a first critical question about what happens to so-called borderlands when ""borders"" move to other scales, such as cities that are not usually categorized as ""border cities"". Within this framing debate, this study explores two fundamental questions: (1) how border practices at the state level shape constrained relations between cities and migrants, and (2) how cities map de-bordering policies to resolve such constraints, which we conceptualise as an example of 'urban resilience'. The aim is to provide a focus that brings the analytical category of ""urban resilience"", recently proposed within the emerging debate on the ""local turn"" in migration studies, to bear on issues directly related to the social impacts of state bordering processes on urban systems. The article then argues that urban justice principles drive most cities to initiate resilient de-bordering policies, and can be seen as a distinctive normative factor underpinning urban resilience when applied to migration governance. After laying the groundwork for this theoretical framework and its application to the city of Barcelona, the final section briefly outlines the potential of this new and crucial critical area of migration research. This will provide yet another opportunity to highlight that we are likely to enter an era in which cities will increasingly become sovereign geopolitical entities within and beyond the traditional hierarchical reach of their own states.","0","Journal","ar","Article","100","1","1","2","21100899442","101079254","1","TRUE","all","All Open Access","4",NA,"Barcelona | Bordering politics | De-bordering policies | Migration | Urban governance urban resilience | Urban justice",NA,NA,NA,NA,NA
"true","https://api.elsevier.com/content/abstract/scopus_id/85192775679","SCOPUS_ID:85192775679","2-s2.0-85192775679","Artificial intelligence of things for synergizing smarter eco-city brain, metabolism, and platform: Pioneering data-driven environmental governance","Bibri S.E.","Sustainable Cities and Society",NA,"108",NA,"2024-08-01","1 August 2024","10.1016/j.scs.2024.105516","Emerging smarter eco-cities, inherently intertwined with environmental governance, function as experimental sites for testing novel technological solutions and implementing environmental reforms aimed at addressing complex challenges. However, despite significant progress in understanding the distinct roles of emerging data-driven governance systems—namely City Brain, Smart Urban Metabolism (SUM), and platform urbanism—enabled by Artificial Intelligence of Things (AIoT), a critical gap persists in systematically exploring the untapped potential stemming from their synergistic and collaborative integration in the context of environmental governance. To fill this gap, this study aims to explore the linchpin potential of AIoT in seamlessly integrating these data-driven governance systems to advance environmental governance in smarter eco-cities. Specifically, it introduces a pioneering framework that effectively leverages the synergies among these AIoT-powered governance systems to enhance environmental sustainability practices in smarter eco-cities. In developing the framework, this study employs configurative and aggregative synthesis approaches through an extensive literature review and in-depth case study analysis of publications spanning from 2018 to 2023. The study identifies key factors driving the co-evolution of AI and IoT into AIoT and specifies technical components constituting the architecture of AIoT in smarter eco-cities. A comparative analysis reveals commonalities and differences among City Brain, SUM, and platform urbanism within the frameworks of AIoT and environmental governance. These data-driven systems collectively contribute to environmental governance in smarter eco-cities by leveraging real-time data analytics, predictive modeling, and stakeholder engagement. The proposed framework underscores the importance of data-driven decision-making, optimization of resource management, reduction of environmental impact, collaboration among stakeholders, engagement of citizens, and formulation of evidence-based policies. The findings unveils that the synergistic and collaborative integration of City Brain, SUM, and platform urbanism through AIoT presents promising opportunities and prospects for advancing environmental governance in smarter eco-cities. The framework not only charts a strategic trajectory for stimulating research endeavors but also holds significant potential for practical application and informed policymaking in the realm of environmental urban governance. However, ongoing critical discussions and refinements remain imperative to address the identified challenges, ensuring the framework's robustness, ethical soundness, and applicability across diverse urban contexts.","0","Journal","ar","Article","100","3","3","105516","19700194105","undefined","1","TRUE","all","All Open Access","5",NA,"Artificial intelligence | Artificial Intelligence of Things | City Brain | Environmental governance | Environmental sustainability | Platform urbanism | Smart urban metabolism | Smarter Eco-cities",NA,NA,NA,"22106707","S2210670724003421"
"true","https://api.elsevier.com/content/abstract/scopus_id/85192212263","SCOPUS_ID:85192212263","2-s2.0-85192212263","Deciphering spatial-temporal dynamics of flood exposure in the United States","Abedin J.","Sustainable Cities and Society",NA,"108",NA,"2024-08-01","1 August 2024","10.1016/j.scs.2024.105444","Extracting baseline information on flood exposure and its temporal evolution is essential to formulate flood risk reduction strategies. At present, comprehensive, long-term spatial-temporal flood exposure research in the United States is lacking. The objective of the study is to evaluate county-wide flood exposure in the US and unravel its spatial-temporal dynamics from 2001 to 2019 to answer three research questions via hypothesis testing. First, how have human settlement areas exposed to flood threats in the US changed over the past two decades? Second, has the occurrence of floods and their resulting damage influenced the growth of developed areas in flood zones? Third, do disparities exist in the sensitivity to flood threats among urban-rural communities? Results show that the overall rate of development in flood zones in the contiguous United States has steadily decreased from 2001 to 2019. The Local Moran's I analysis discovers pockets of emerging, expanding, shrinking, and changing clusters of communities that show a rapid increase or decrease of developed areas within flood zones over time. Most counties that experienced more frequent flooding events demonstrate greater responsiveness to flood hazards by avoiding development in flood zones. Finally, urban communities exhibit a higher exposure and sensitivity to flood hazards compared to rural areas.","0","Journal","ar","Article","100","10","10","105444","19700194105","2318204","0","FALSE",NA,NA,"6",NA,"Flood exposure | Flood zone | Moran's I | United States | Urban development | Urban-rural disparities","National Science Foundation",NA,"NSF","22106707","S2210670724002725"
"true","https://api.elsevier.com/content/abstract/scopus_id/85192145413","SCOPUS_ID:85192145413","2-s2.0-85192145413","Blockchain for urban governance: Enhancing trust in smart city systems with advanced techniques","Zhu X.","Sustainable Cities and Society",NA,"108",NA,"2024-08-01","1 August 2024","10.1016/j.scs.2024.105438","The rapid urbanization and increasing energy demands necessitate innovative solutions for efficient energy governance in smart cities from the social science perspective. This paper introduces a comprehensive framework for Urban Energy Governance (UEG), focusing on the collaboration of three urban systems in energy exchange considering social and environmental impacts. To address the challenges of security, energy forecasting, and nonlinear optimization, we employ advanced techniques, including blockchain technology, Long Short-Term Memory (LSTM) networks for accurate energy forecasting, and a modified Particle Swarm Optimization (PSO) algorithm for solving the proposed nonlinear optimization problem. The utilization of blockchain enhances the security and transparency of energy transactions, fostering trust among stakeholders. Additionally, LSTM models leverage historical data to provide precise energy forecasts, optimizing resource utilization. The modified PSO algorithm tailors optimization to the specific nonlinearities of the proposed problem, ensuring efficient and effective decision-making in the context of Urban Energy Governance. Through a multi-faceted approach, our framework contributes to the advancement of smart city systems, providing a secure, forecast-driven, and optimized energy governance model for sustainable urban development.","0","Journal","ar","Article","100","7","7","105438","19700194105","undefined","0","FALSE",NA,NA,"7",NA,"Blockchain | Long short-term memory | Smart cities | Social and environmental impacts | Urban governance",NA,NA,NA,"22106707","S221067072400266X"
"true","https://api.elsevier.com/content/abstract/scopus_id/85192248239","SCOPUS_ID:85192248239","2-s2.0-85192248239","Assessing governance implications of city digital twin technology: A maturity model approach","Haraguchi M.","Technological Forecasting and Social Change",NA,"204",NA,"2024-07-01","July 2024","10.1016/j.techfore.2024.123409","Digital twin technology has great potential to transform urban planning. However, the governance aspects of city-scale digital twins (CDTs)— a virtual representation of urban environments —are understudied. This study bridges this knowledge gap by adopting a framework that scrutinizes the maturity stages of technology. We introduce the CITYSTEPS Maturity Model, a pioneering maturity framework tailored for CDTs, to assess all development stages of CDTs, including those utilizing artificial intelligence, and analyze the technology's role in urban governance. We highlight the promise of CDTs in enhancing public participation in urban planning and addressing key smart city concerns, such as accountability and transparency. However, significant challenges remain, including public participation, public trust in privacy protection, and technical impediments like inadequate data integration, systems integration, and interoperability. There's also the pressing issue of social inclusion: the potential exclusion of marginalized groups, including those often overlooked in data collection, like the hidden homeless and informal sector workers. We propose CDTs should be designed with a human-centric approach, transparent and unbiased data collection and algorithm development, and be led by an adaptive regulatory framework. The CITYSTEPS Maturity Model lays out a framework to assess CDTs' present state, forecast their future, and understand their governance implications, promoting more inclusive technology adoption.","0","Journal","ar","Article","100","3","3","123409","14704","undefined","0","FALSE",NA,NA,"8",NA,"City digital twin | Governance | Inclusion | Maturity model | Public participation | Smart city","Ministry of Education - Singapore",NA,"MOE","00401625","S0040162524002051"
"true","https://api.elsevier.com/content/abstract/scopus_id/85190591851","SCOPUS_ID:85190591851","2-s2.0-85190591851","Methodological proposal for the inclusion of citizen participation in the management and planning of urban public spaces","Jiménez-Caldera J.","Cities",NA,"150",NA,"2024-07-01","July 2024","10.1016/j.cities.2024.105008","The appropriate planning of Areas of Public Space and Meeting (APSM) plays a pivotal role in enhancing the quality of life for citizens, particularly in developing countries where socio-economic disparities impact social and territorial cohesion. Engaging the local population in decision-making processes through public participation is crucial. This research endeavours to design and implement two geoinformatics tools aimed at streamlining data collection processes, thereby contributing to the democratization of urban planning and management. These tools, known as Field Geoform (FG) and Crowdsourcing Geoform (CG), have been successfully deployed in Comunne #9 of Monteria, Colombia. The collected data is presented systematically and in real-time through a web-based data visualization platform. FG offers a practical and efficient means of characterizing and assessing the physical and conservation status of APSM. On the other hand, CG empowers users of these areas to actively contribute valuable data. The trial to evaluate the functionality of CG confirms that the use of digital crowdsourcing tools, accessible to the community, gathers pertinent data regarding APSM. This mechanism greatly facilitates the efforts of those responsible for the restoration and maintenance of these infrastructures, as well as decision-makers within the realm of urban management.","0","Journal","ar","Article","100","6","6","105008","16956","undefined","1","TRUE","all","All Open Access","9",NA,"Dashboard | Decision-making processes | Public participation | Socio-territorial cohesion | Territorial planning",NA,NA,NA,"02642751","S0264275124002221"
"true","https://api.elsevier.com/content/abstract/scopus_id/85190321293","SCOPUS_ID:85190321293","2-s2.0-85190321293","Advancing equitable ‘resilience imaginaries’ in the Global South through dialogical participatory mapping: Experiences from informal communities in Brazil","Pitidis V.","Cities",NA,"150",NA,"2024-07-01","July 2024","10.1016/j.cities.2024.105015","Over recent years, and as a result of the recent global health pandemic, resilience has become increasingly central to contemporary policy discourses in urban planning and development in both the Global North and Global South. Drawing from ongoing empirical studies of community resilience and everyday practices that have been co-designed and co-produced alongside Brazilian marginalised communities which are highly vulnerable to a range of natural hazards, this paper highlights the growing importance of dialogical stakeholder engagement methodologies in designing alternative urban visions – so-called resilience imaginaries or counter-cities - across the Global South based on social diversity, equity and spatial justice. More specifically, the dialogical participatory mapping approach outlined in this paper utilises citizen science approaches to develop local resilience imaginaries, building on the pedagogical work of Brazilian educator Paulo Freire and the conceptualisation of dialogue as a comprehensive and progressively unfolding methodological approach. Practically, we adopted a range of community engagement approaches that allowed local citizens to become more aware of their own risk context and embed this tacit knowledge into the operation of civil protection programmes. Our empirical results highlight the potential of such dialogical participatory approaches to capture lay knowledge from local citizens and contribute to the development of enhanced resilience approaches. The paper concludes by reflecting on the role of formerly marginalised voices in the advancement of local urban policy and on the novelty and promise of critical pedagogical approaches to co-production within existing regimes of urban governance and the imagining of radically independent counter-cities.","0","Journal","ar","Article","100","3","3","105015","16956","730211","1","TRUE","all","All Open Access","10",NA,"Co-production | Counter-cities | Dialogical methods | Participatory mapping | Resilience imaginaries","Economic and Social Research Council",NA,"ESRC","02642751","S0264275124002294"
"true","https://api.elsevier.com/content/abstract/scopus_id/85189945016","SCOPUS_ID:85189945016","2-s2.0-85189945016","Reconceiving China's urban economic transition through symbiotic state-firm dynamics: An integrated perspective from urban governance and global production networks","Wang K.","Cities",NA,"150",NA,"2024-07-01","July 2024","10.1016/j.cities.2024.104974","China's urban economic transition since the 2000s has garnered considerable scholarly interest. Two distinct bodies of scholarship, namely urban governance and global production networks, have investigated this phenomenon, each offering unique insights either from an endogenous state-centric or exogenous firm-centric approach. The former has justifiably accentuated the centrality of the state in shaping Chinas urban-regional economic reconfiguration but lacks exploration of the multifaceted ways in which state apparatus engages with a spectrum of quotidian firm-level activities and the negotiation power these firms wield. The latter embraces an exogenous firm-centric perspective on the economic transition in East Asia latecomer regions, stressing forces of globalisation, foreign investment, and intra/inter/extra-firm networks, but tends to bracket the state into the institutional background and, therefore, downplays its agentic role. By initiating a dialogue between these two theoretical frameworks, this paper formulates a dialectical state-firm relational approach, offering a revitalised, integrative comprehension of China's urban economic transformation. Employing Dongguan - a globally recognised hub for ICT manufacturing - as an empirical focal point, it elucidates how the relational state-firm dynamics evolve temporally, differ spatially across territories and scales, and display distinct contrasts between high-value-added and labour-intensive sectors within the ICT industry.","0","Journal","ar","Article","100","4","4","104974","16956","CUHK14602522","1","TRUE","all","All Open Access","11",NA,"China | Global production networks | State-firm relations | Urban economic transition | Urban governance","National Natural Science Foundation of China",NA,"NSFC","02642751","S0264275124001884"
